number,difficulty,codeLength,timestamp,elapsed
2580436,216714592,200,1717252219,7.0
2580437,215444782,196,1717252269,50.0
2580438,215655177,196,1717252273,4.0
2580439,215655177,196,1717252284,11.0
2580440,215655177,196,1717252297,13.0
2580441,215865777,196,1717252298,1.0
2580442,216076583,196,1717252304,6.0
2580443,215654559,196,1717252326,22.0
2580444,215865159,196,1717252327,1.0
2580445,215654354,196,1717252346,19.0
2580446,215864953,196,1717252349,3.0
2580447,216075758,196,1717252355,6.0
2580448,216286769,200,1717252356,1.0
2580449,216497986,200,1717252362,6.0
2580450,216497986,200,1717252373,11.0
2580451,216497986,200,1717252380,7.0
2580452,216497986,200,1717252389,9.0
2580453,216497986,200,1717252401,12.0
2580454,216709409,200,1717252407,6.0
2580455,216921039,200,1717252411,4.0
2580456,216921039,200,1717252420,9.0
2580457,216709203,200,1717252436,16.0
2580458,216709203,200,1717252448,12.0
2580459,216709203,200,1717252457,9.0
2580460,216920833,200,1717252458,1.0
2580461,216285325,200,1717252492,34.0
2580462,216496541,200,1717252496,4.0
2580463,216496541,200,1717252509,13.0
2580464,216285119,200,1717252524,15.0
2580465,216496334,200,1717252529,5.0
2580466,216707756,200,1717252531,2.0
2580467,216707756,200,1717252543,12.0
2580468,216919384,200,1717252547,4.0
2580469,216283879,200,1717252578,31.0
2580470,215861451,196,1717252599,21.0
2580471,216072253,196,1717252604,5.0
2580472,216283261,200,1717252606,2.0
2580473,216494475,200,1717252607,1.0
2580474,216705895,200,1717252611,4.0
2580475,216705895,200,1717252621,10.0
2580476,216917521,200,1717252622,1.0
2580477,217129354,200,1717252624,2.0
2580478,217129354,200,1717252632,8.0
2580479,216917314,200,1717252650,18.0
2580480,216917314,200,1717252659,9.0
2580481,216917314,200,1717252669,10.0
2580482,217129147,200,1717252671,2.0
2580483,216493027,200,1717252703,32.0
2580484,216281609,196,1717252720,17.0
2580485,216281609,196,1717252729,9.0
2580486,216281609,196,1717252736,7.0
2580487,216492821,200,1717252738,2.0
2580488,216704239,200,1717252740,2.0
2580489,216704239,200,1717252749,9.0
2580490,216915864,200,1717252754,5.0
2580491,217127695,200,1717252758,4.0
2580492,217339733,200,1717252759,1.0
2580493,217551978,200,1717252765,6.0
2580494,217764431,200,1717252770,5.0
2580495,217126451,200,1717252800,30.0
